pais;provincia;población;latitud;longitud;iso2;iso3;capital;population;id;city_ascii
Colombia;Amazonas;Leticia;-4.2167;-69.9333;CO;COL;admin;33503;1170548641;Leticia
Colombia;Amazonas;Puerto Nariño;-3.7733;-70.3819;CO;COL;minor;9744;1170109460;Puerto Narino
Colombia;Antioquia;Abejorral;5.7894;-75.4281;CO;COL;minor;20287;1170508965;Abejorral
Colombia;Antioquia;Amagá;6.05;-75.7;CO;COL;minor;30376;1170092259;Amaga
Colombia;Antioquia;Amalfi;6.9167;-75.0833;CO;COL;minor;22714;1170542286;Amalfi
Colombia;Antioquia;Andes;5.5833;-75.9167;CO;COL;minor;43269;1170727383;Andes
Colombia;Antioquia;Angelópolis;6.1333;-75.7;CO;COL;minor;8946;1170231958;Angelopolis
Colombia;Antioquia;Angostura;6.8667;-75.3333;CO;COL;minor;10500;1170569077;Angostura
Colombia;Antioquia;Anorí;7.0736;-75.1458;CO;COL;minor;16447;1170571922;Anori
Colombia;Antioquia;Apartadó;7.8833;-76.6333;CO;COL;minor;121003;1170483593;Apartado
Colombia;Antioquia;Arboletes;8.8517;-76.4283;CO;COL;minor;44560;1170052299;Arboletes
Colombia;Antioquia;Argelia;5.7425;-75.1464;CO;COL;minor;8911;1170927955;Argelia
Colombia;Antioquia;Barbosa;6.439;-75.333;CO;COL;minor;53167;1170859178;Barbosa
Colombia;Antioquia;Bello;6.3333;-75.5667;CO;COL;minor;561955;1170423489;Bello
Colombia;Antioquia;Betania;5.75;-75.9667;CO;COL;minor;9286;1170782709;Betania
Colombia;Antioquia;Betulia;6.1122;-75.9839;CO;COL;minor;17317;1170946542;Betulia
Colombia;Antioquia;Briceño;7.1111;-75.55;CO;COL;minor;8673;1170830473;Briceno
Colombia;Antioquia;Cáceres;7.6667;-75.3333;CO;COL;minor;42112;1170859204;Caceres
Colombia;Antioquia;Caldas;6.09;-75.638;CO;COL;minor;85385;1170279867;Caldas
Colombia;Antioquia;Campamento;6.9789;-75.2964;CO;COL;minor;9091;1170487323;Campamento
Colombia;Antioquia;Cañasgordas;6.7497;-76.0258;CO;COL;minor;13595;1170135054;Canasgordas
Colombia;Antioquia;Carepa;7.7578;-76.6553;CO;COL;minor;47932;1170091679;Carepa
Colombia;Antioquia;Carmen de Viboral;6.0833;-75.3333;CO;COL;minor;62581;1170768757;Carmen de Viboral
Colombia;Antioquia;Caucasia;7.9833;-75.2;CO;COL;minor;90213;1170351945;Caucasia
